nsia	3640
somaa	3634
abu	3623
wonim	3596
owusu	3567
anwonwade	3551
ketewa	3546
katie	3546
owia	3546
mfiri	3545
twa	3543
kare	3541
soronko	3539
aha	3521
tirim	3507
r	3504
tum	3502
tena	3497
eh	3480
atoro	3478
asaase	3459
nto	3449
ak	3440
akasa	3431
nnamdi	3427
aduanan	3351
nnua	3346
ahem	3345
owe	3332
yosua	3326
wone	3293
agyina	3283
women	3281
dabi	3276
ahennie	3257
woka	3239
binom	3234
metumi	3225
paradise	3222
etwa	3216
kwame	3208
twe	3205
amaa	3199
afrika	3181
bom	3150
menim	3144
akenkan	3138
adaka	3133
agyenkwa	3130
mmabarima	3123
babea	3116
pon	3113
nyi	3108
ako	3098
obu	3091
munnim	3088
tan	3085
sare	3083
kokoro	3071
wontumi	3070
wonya	3067
ewiase	3065
ayam	3064
anom	3058
ewiade	3039
botae	3038
sara	3033
wotumi	3026
nsoromma	3023
baasa	3011
asua	3011
aduasa	3004
li	2991
bara	2967
nsakrae	2965
hom	2964
oyi	2960
atena	2953
gyamfi	2953
nsuro	2915
akyire	2905
bite	2899
suro	2893
munim	2864
wim	2851
kum	2851
non	2841
madi	2818
nkron	2812
koto	2799
ware	2786
munni	2778
tone	2777
dae	2774
media	2771
anyame	2765
bua	2764
nhia	2753
yahoo	2749
team	2744
aduonum	2731
gyae	2722
akatua	2719
agyapade	2712
manya	2712
poro	2704
wokum	2703
mote	2698
asom	2698
boro	2692
en	2688
owuo	2685
medi	2673
simon	2672
ntena	2663
dumien	2639
dare	2635
homeda	2632
bonne	2630
asem	2626
wafa	2620
nyina	2615
antumi	2615
mfonini	2607
buu	2594
bieko	2574
atemmu	2572
asetra	2565
sane	2556
ben	2551
hunu	2551
ntease	2535
mese	2523
ahenkuro	2519
barima	2513
panin	2489
nk	2478
mpanyin	2473
x	2472
tom	2471
gyidie	2470
bike	2468
ta	2453
nnum	2452
anwummere	2447
hunuu	2439
akyirikyiri	2434
amansan	2427
wie	2426
mmirika	2416
kurukuruwa	2414
wonnim	2407
et	2401
menya	2380
nyinara	2380
asesa	2368
dede	2366
duru	2358
wubenya	2345
nokwarem	2339
edu	2338
efie	2334
obisaa	2334
ee	2326
asotwe	2322
tease	2322
gyinaa	2306
asantewaa	2305
ananse	2298
baanan	2298
trade	2289
anwuma	2288
akyinnye	2284
adwoa	2274
bon	2272
asan	2272
asiane	2271
hye	2264
mmaratuo	2253
nnyina	2243
mmusua	2240
atua	2240
tense	2238
tuu	2234
ananmu	2223
mpa	2221
sora	2217
ow	2210
adidi	2209
woadi	2194
akuapem	2187
aseda	2187
animuonyam	2187
sie	2176
beae	2173
naka	2156
ntia	2154
ahemman	2151
hoo	2145
fe	2143
muni	2143
menyaa	2142
ahotoso	2139
mmammarima	2134
benkum	2134
nyamesom	2131
wanya	2130
mpempem	2121
owui	2115
mmabea	2114
nnomaa	2110
hi	2109
antwi	2103
bisae	2098
monka	2091
ahankron	2075
adwenem	2071
mmu	2069
mamma	2068
ose	2067
soon	2061
kane	2060
oguammaa	2055
nwane	2055
wama	2054
ntade	2053
atumi	2051
osu	2051
aberante	2050
nt	2048
amerika	2047
meri	2038
kuo	2018
ahene	2011
soo	2011
tua	2007
nn	2005
komam	2002
mmaako	2002
mate	1996
mean	1992
boaa	1987
simma	1985
mpoano	1979
aduru	1971
nnwan	1966
el	1960
okyere	1958
hyiadan	1954
ntamadan	1945
nyan	1943
ntama	1937
same	1937
baba	1935
mmeae	1932
mekae	1927
woanya	1926
koo	1924
amfa	1916
mfatoho	1915
benyamin	1910
nude	1909
twaa	1907
oye	1903
aniwa	1900
ntoatoaso	1899
hwe	1896
afie	1888
sini	1884
fitaa	1881
woa	1875
nketewa	1874
hare	1869
gyaa	1859
nani	1857
tere	1832
akokoduru	1828
baason	1825
asetenam	1824
tim	1823
nkae	1820
woma	1808
sea	1807
nkasa	1801
asian	1799
nnafua	1784
nidi	1784
kanaan	1783
turo	1782
mono	1781
obenya	1777
ahofadi	1775
twam	1768
asen	1755
awa	1754
atwe	1750
abufuo	1748
adesamma	1748
amfi	1733
